BH,BJBM,GLZ,
2012902,12汽修（5）2,汽车工程学院,
2012903,12汽制（5）1,汽车工程学院,
2012904,12汽制（5）2,汽车工程学院,
20126009,12会计2,经济管理学院,
2012536,12金融（5）2,经济管理学院,
20120004,12生物2,生物工程学院,
2012504,12生物技术（5）2,生物工程学院,
2012706,12轨道控制（5）3,自动化工程学院,
2012707,12机电技术（5）2,自动化工程学院,
2013555,13通信技术(5),电信工程学院,
2013556,13通信技术(5)2,电信工程学院,
2013101,中13设计,艺术设计学院,
2013102,中13装饰艺术,艺术设计学院,
2013103,中13广告设计,艺术设计学院,
2013104,中13动漫设计,艺术设计学院,
2013301,中13机械制造,机械工程学院,
2013302,中13数控技术,机械工程学院,
2013201,中13机电技术1,自动化工程学院,
2013202,中13机电技术2,自动化工程学院,
2013203,中13机电技术3,自动化工程学院,
2013204,中13电气技术,自动化工程学院,
2013205,中13楼宇1,自动化工程学院,
2013206,中13楼宇2,自动化工程学院,
2013401,中13汽修,汽车工程学院,
2013402,中13汽修2,汽车工程学院,
2013403,中13汽修3,汽车工程学院,
2013404,中13汽制,汽车工程学院,
2013405,中13汽制2,汽车工程学院,
2013051,中13网络1,电信工程学院,
2013052,中13网络2,电信工程学院,
2013053,中13网络3,电信工程学院,
20136004,13国际商务,经济管理学院,
20136005,13电子商务,经济管理学院,
20136006,13商务英语,经济管理学院,
20136007,13导游,经济管理学院,
20130001,13生物技术,生物工程学院,
20130002,13生物医药,生物工程学院,
20130003,13食品检测,生物工程学院,
20130004,13环境监测,生物工程学院,
20131001,13传媒艺术1,艺术设计学院,
20131002,13传媒艺术2,艺术设计学院,
20131003,13动漫设计,艺术设计学院,
20131004,13人物形象,艺术设计学院,
20131005,13人物形象2,艺术设计学院,
20131006,13装饰艺术,艺术设计学院,
20131007,13广告设计,艺术设计学院,
20133001,13机械制造1,机械工程学院,
20133002,13机械制造2,机械工程学院,
20133003,13数控技术,机械工程学院,
20133004,13数控技术2,机械工程学院,
20133005,13模具制造,机械工程学院,
20132001,13机电,自动化工程学院,
20132002,13轨道控制,自动化工程学院,
20132003,13楼宇技术,自动化工程学院,
20132004,13空调技术,自动化工程学院,
20132005,13电气,自动化工程学院,
20134001,13汽制（奔驰）,汽车工程学院,
20134002,13汽修（奔驰）,汽车工程学院,
20134003,13汽修（戴姆勒）1,汽车工程学院,
20134004,13汽修（戴姆勒）2,汽车工程学院,
20134005,13汽修,汽车工程学院,
20134006,13轨道车辆,汽车工程学院,
20135001,13网络技术,电信工程学院,
20135002,13计算机,电信工程学院,
20135003,13物联网,电信工程学院,
20135004,13电子技术,电信工程学院,
20135005,13通信技术,电信工程学院,
20135006,13电信,电信工程学院,
2013531,13航空物流(5),经济管理学院,
2013532,13会计(5),经济管理学院,
2013533,13商务英语(5),经济管理学院,
2013534,13金融(5),经济管理学院,
2013535,13物业(5),经济管理学院,
2013501,13生物技术(5),生物工程学院,
2013502,13食品安全(5),生物工程学院,
2013503,13环境监测(5),生物工程学院,
2013601,13电脑艺术(5)1,艺术设计学院,
2013602,13电脑艺术(5)2,艺术设计学院,
2013603,13电脑艺术(5)3,艺术设计学院,
2013604,13形象设计(5),艺术设计学院,
2013605,13装饰艺术(5),艺术设计学院,
2013801,13机械制造(5),机械工程学院,
2013802,13机械制造(5)2,机械工程学院,
2013803,13机械制造(5)3,机械工程学院,
2013804,13数控技术(5)1,机械工程学院,
2013805,13数控技术(5)2,机械工程学院,
2013701,13机电技术(5)1,自动化工程学院,
2013702,13机电技术(5)2,自动化工程学院,
2013703,13电气(5),自动化工程学院,
2013704,13电气（5）2,自动化工程学院,
2013705,13楼宇技术(5),自动化工程学院,
2013706,13工业网络(5),自动化工程学院,
2013901,13汽车维修(5)1,汽车工程学院,
2013902,13汽车维修(5)2,汽车工程学院,
2011507,11食品(5)2,生物工程学院,
2013557,13网络技术(5)2,电信工程学院,
2014804,14焊接技术(5),机械工程学院,
2014901,14汽车维修(5)1,汽车工程学院,
2014902,14汽车维修(5)2,汽车工程学院,
2014903,14汽车维修(5)3,汽车工程学院,
2014904,14汽车装配(5)1,汽车工程学院,
2014905,14汽车装配(5)2,汽车工程学院,
20140001,14生物技术,生物工程学院,
20140002,14生物医药,生物工程学院,
20140003,14食品检测,生物工程学院,
20140004,14环境监测,生物工程学院,
20141004,14动漫设计,艺术设计学院,
20141005,14装饰设计1,艺术设计学院,
20141006,14装饰设计2,艺术设计学院,
20141007,14广告设计,艺术设计学院,
20142005,14轨道控制,自动化工程学院,
20142006,14电气(士官)1,自动化工程学院,
20142007,14电气(士官)2,自动化工程学院,
20142008,14电气(士官)3,自动化工程学院,
20143005,14数控设备2,机械工程学院,
20144005,14汽修,汽车工程学院,
20144006,14汽修(戴姆勒),汽车工程学院,
20144007,14汽修(士官)1,汽车工程学院,
20144008,14汽修(士官)2,汽车工程学院,
20145005,14网络技术,电信工程学院,
20145006,14电子信息,电信工程学院,
20145007,14信息(士官)1,电信工程学院,
20145008,14信息(士官)2,电信工程学院,
20146002,14电子商务2,经济管理学院,
20146003,14金融保险,经济管理学院,
20146004,14会计,经济管理学院,
20146005,14国际商务,经济管理学院,
20146006,14商务英语1,经济管理学院,
20146007,14商务英语2,经济管理学院,
2014104,中14工艺美术3,艺术设计学院,
2014051,中14网络技术,电信工程学院,
2014101,中14服装设计,艺术设计学院,
2014102,中14工艺美术1,艺术设计学院,
2014103,中14工艺美术2,艺术设计学院,
2014201,中14机电技术1,自动化工程学院,
2014202,中14机电技术2,自动化工程学院,
2014203,中14电气技术,自动化工程学院,
2014204,中14智能楼宇1,自动化工程学院,
2014205,中14智能楼宇2,自动化工程学院,
2014301,中14机械制造,机械工程学院,
2014302,中14数控技术,机械工程学院,
2014401,中14汽修,汽车工程学院,
2014402,中14汽制1,汽车工程学院,
2014403,中14汽制2,汽车工程学院,
2014501,14生物技术(5),生物工程学院,
2014502,14食品安全(5),生物工程学院,
2014503,14环境监测(5),生物工程学院,
2014531,14航空物流(5),经济管理学院,
2014532,14会计(5),经济管理学院,
2014533,14商务英语(5),经济管理学院,
2014534,14金融(5),经济管理学院,
2014535,14电子商务(5),经济管理学院,
2014551,14网络技术(5)1,电信工程学院,
2014552,14网络技术(5)2,电信工程学院,
2014553,14手机游戏(5),电信工程学院,
2014554,14电子信息(5)1,电信工程学院,
2014555,14电子信息(5)2,电信工程学院,
2014556,14通信技术(5)1,电信工程学院,
2014557,14通信技术(5)2,电信工程学院,
2014601,14电脑艺术(5)1,艺术设计学院,
2014602,14电脑艺术(5)2,艺术设计学院,
2014603,14电脑艺术(5)3,艺术设计学院,
2014604,14形象设计(5),艺术设计学院,
2014605,14装饰艺术(5),艺术设计学院,
2014701,14机电技术(5)1,自动化工程学院,
2014702,14机电技术(5)2,自动化工程学院,
2014703,14电气(5),自动化工程学院,
2014704,14轨道控制(5),自动化工程学院,
2014705,14楼宇技术(5),自动化工程学院,
2014801,14数控技术(5)1,机械工程学院,
2014802,14数控技术(5)2,机械工程学院,
2014803,14模具设计(5),机械工程学院,
2011508,11食品(5),生物工程学院,
20136008,13会计1,经济管理学院,
20136009,13会计2,经济管理学院,
20141001,14媒体设计1,艺术设计学院,
20141002,14媒体设计2,艺术设计学院,
20141003,14人物形象,艺术设计学院,
20142001,14机电,自动化工程学院,
20142002,14电气,自动化工程学院,
20142003,14楼宇技术,自动化工程学院,
20142004,14空调技术,自动化工程学院,
20143001,14机械制造,机械工程学院,
20143002,14数控设备1,机械工程学院,
20143003,14焊接技术,机械工程学院,
20143004,14模具制造,机械工程学院,
20144001,14汽修(奔驰)1,汽车工程学院,
20144002,14汽修(奔驰)2,汽车工程学院,
20144003,14汽制(奔驰),汽车工程学院,
20144004,14轨道车辆,汽车工程学院,
20145001,14电子技术,电信工程学院,
20145002,14计算机,电信工程学院,
20145003,14物联网,电信工程学院,
20145004,14通信技术,电信工程学院,
20146001,14电子商务1,经济管理学院,
2013903,13汽车维修(5)3,汽车工程学院,
2013904,13汽车装配(5),汽车工程学院,
2013905,13汽车装配(5)2,汽车工程学院,
2013551,13网络技术(5)1,电信工程学院,
2013552,13计算机(5),电信工程学院,
20136001,13金融保险,经济管理学院,
20136002,13会计,经济管理学院,
20136003,13会计资产,经济管理学院,
2013553,13计算机(5)2,电信工程学院,
2013554,13电信(5),电信工程学院,
